feature_set,training_set,n_training_set,evaluation_set,n_evaluation_set,estimate_LogLoss,ci_lower_LogLoss,ci_upper_LogLoss,estimate_MSE,ci_lower_MSE,ci_upper_MSE,estimate_R2_Score,ci_lower_R2_Score,ci_upper_R2_Score,estimate_F1_Score,ci_lower_F1_Score,ci_upper_F1_Score,threshold_F1_Score
sex_and_birthyear,train_sample_n_3696041,3696041,evaluation_test_50_percent_split,206549,0.355409553249961,0.3528722614421,0.358039955460777,0.110496075697915,0.109593152333294,0.111418652475024,0.105480741499683,0.102920181271238,0.107971510675584,0.400031486146096,0.395898007896968,0.403819539327661,0.201550024577826
augmented_records,train_sample_n_100,100,evaluation_selection_50_percent_split,206549,0.393278036840968,0.390265164788397,0.396410715889134,0.116146192823354,0.115154377744381,0.117180475302359,0.0626126568671988,0.0590739452985153,0.0659437931160664,0.351152806487518,0.346288603078461,0.356026158261102,0.221073374676802
augmented_records,train_sample_n_1000,1000,evaluation_selection_50_percent_split,206549,0.314841541458151,0.312044151807151,0.317712567769917,0.0951951526987587,0.0942807906901506,0.0960984031358198,0.231703346461579,0.226350153088562,0.236567858792697,0.515668282548476,0.511276652335176,0.520169807128069,0.222749366081165
augmented_records,train_sample_n_10000,10000,evaluation_selection_50_percent_split,206549,0.293660308404492,0.291176070555262,0.29620150419051,0.0898290980934873,0.0890007220050712,0.0907153552620184,0.275011452799521,0.269554607883964,0.27985758246292,0.541659280269456,0.537239460813375,0.546041813179807,0.261414288881342
augmented_records,train_sample_n_100000,100000,evaluation_selection_50_percent_split,206549,0.279814177956956,0.27744442427794,0.282260180730985,0.085693614266146,0.0848571381542995,0.0865149562673503,0.308387925185284,0.302857581335829,0.31335850192821,0.565009560229446,0.5605202089683,0.569719561442904,0.290443312527241
augmented_records,train_sample_n_1000000,1000000,evaluation_selection_50_percent_split,206549,0.274393736704877,0.272072150809634,0.276904811003274,0.0841544052316628,0.0833312748024848,0.0850440934484213,0.32081050256201,0.31530941920386,0.325677016982209,0.575192355973004,0.570992171045959,0.579720963051492,0.270107365953581
augmented_records,train_sample_n_5000,5000,evaluation_selection_50_percent_split,206549,0.298331728132618,0.295771585842622,0.300896589220778,0.0910877881414963,0.0902255734738299,0.0920023629227255,0.264852875137614,0.259443893404061,0.269671753296958,0.534459881956412,0.530053188282625,0.538794195890572,0.261817876495843
augmented_records,train_sample_n_50000,50000,evaluation_selection_50_percent_split,206549,0.28281011573846,0.280449056213057,0.285218055804813,0.0865081183891817,0.0856952101654682,0.0873215468798907,0.301814262826636,0.296287066440954,0.306868752498304,0.561772087221797,0.557570946287886,0.566350264118134,0.270455626968985
augmented_records,train_sample_n_3696041,3696041,evaluation_selection_50_percent_split,206549,0.272866124804323,0.270509076754205,0.275428511816965,0.0836951954393112,0.0828638600071528,0.084522059951772,0.324516671802078,0.319018969018477,0.32950270653342,0.577291866735614,0.573091520301718,0.581601464333474,0.270054099539585
augmented_records,train_sample_n_100,100,evaluation_test_50_percent_split,206549,0.390945727911807,0.38787644005684,0.394026333079826,0.115338560069959,0.114271573838775,0.116421115562768,0.0662784847460383,0.0628152368993439,0.0697267303775532,0.352582421968548,0.347663179175432,0.356972534229932,0.221073374676802
augmented_records,train_sample_n_1000,1000,evaluation_test_50_percent_split,206549,0.314802421887629,0.311846952414025,0.317909615709281,0.0947583906335013,0.0938344047953856,0.0957433358976184,0.232884925633951,0.227819562895673,0.237482505145114,0.515757488062509,0.510868284558575,0.52012327494903,0.222749366081165
augmented_records,train_sample_n_10000,10000,evaluation_test_50_percent_split,206549,0.293114126030831,0.290564562399338,0.295735552647419,0.0893611839286862,0.0885135796551206,0.0902496340019927,0.276577928386041,0.271315022976965,0.281045256129588,0.542893007457727,0.538186434031402,0.547285675070629,0.261414288881342
augmented_records,train_sample_n_100000,100000,evaluation_test_50_percent_split,206549,0.280364350890326,0.27786708185052,0.282918064326343,0.0856773011657058,0.0848383010316694,0.0865986519457437,0.30640074387274,0.30115424537734,0.311113291085235,0.562736351428527,0.558140056246917,0.567140635235078,0.290443312527241
augmented_records,train_sample_n_1000000,1000000,evaluation_test_50_percent_split,206549,0.274134820008053,0.271642386655614,0.276618094521386,0.0838922041055466,0.083033467150003,0.0847746410203435,0.320851969298793,0.315820182774299,0.32549386872455,0.574217653921699,0.56993616070065,0.578412948478765,0.270107365953581
augmented_records,train_sample_n_5000,5000,evaluation_test_50_percent_split,206549,0.297723285370537,0.295076946004163,0.300437503733438,0.0905986773100402,0.0897147098282415,0.0915092243494059,0.266559820006209,0.261518006073615,0.27108435639964,0.538402786264206,0.533738393166609,0.542911801469468,0.261817876495843
augmented_records,train_sample_n_50000,50000,evaluation_test_50_percent_split,206549,0.283392811530094,0.280933065692608,0.285994278251091,0.0864365375703349,0.0856002107871009,0.0873669486179405,0.300254357393352,0.295060033363738,0.3047980615977,0.558743990384615,0.554290040400654,0.562963881519241,0.270455626968985
augmented_records,train_sample_n_3696041,3696041,evaluation_test_50_percent_split,206549,0.272550174021009,0.270142645533862,0.275072090142993,0.0834620181698596,0.0826197468725607,0.0843228326836174,0.3243345328358,0.31938954645288,0.329075912493105,0.576786769049025,0.572308673476764,0.580945803317472,0.270054099539585
